source_url	parsed_url
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/mac/Cloudflare_WARP.zip
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/windows/
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/windows/Cloudflare_WARP_Release-x64.msi
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20using%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20makes%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20too%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/linux/
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/macOS/
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://1.1.1.1/family/
https://1.1.1.1/	https://1.1.1.1/site-16bcc13e690cc771698c.css
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://pkg.cloudflareclient.com/
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_RU1WYR7X70QjhvL62_lE-Mmsn10zn8D85_M4ztVfCCs.css
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/right-wing-media-ignore-broader-aims-extremist-legal-organization-behind-scotus-case
https://www.mediamatters.org/	https://www.mediamatters.org/google/googles-ad-network-driving-and-monetizing-traffic-fringe-video-sharing-platform-rumble
https://www.mediamatters.org/	https://www.mediamatters.org/mar-lago-search/right-wing-media-claim-trump-can-declassify-documents-magic-wand
https://www.mediamatters.org/	https://www.mediamatters.org/daily-wire/congressional-same-sex-marriage-bill-dividing-right-wing-media
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://www.mediamatters.org/?page=0
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/under-elon-musks-new-general-amnesty-plan-right-wing-accounts-pushing-misinformation-are
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.mediamatters.org/diversity-discrimination/meet-will-witt-conservative-influencer-behind-pro-desantis-propaganda
https://www.mediamatters.org/	https://www.mediamatters.org/libs-tiktok/foxnewscom-mimicking-libs-tiktoks-anti-lgbtq-strategy
https://www.mediamatters.org/	https://www.mediamatters.org/infowars/far-right-media-trumpet-conspiracy-theory-buffalo-and-uvalde-mass-shootings-were-false
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-laura-ingrahams-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/fake-news/right-wing-ecosystem-created-paul-pelosi-conspiracy-theory
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/exit-polls-and-ballot-measures-prove-mainstream-pundits-wrong-and-show-abortion-winning-issue
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/anti-lgbtq-hate-has-increased-twitter-elon-musk-officially-acquired-company
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_nhQAEW6cFpgRjbDY0Lp3RDRQOcW0OEq2d-Zy3G0EUCA.css
